code,name,image
0429,TPU 超消光星際灰,images/aks_colorppf_GTPU-0429.jpg
0443,TPU 金屬松柏綠,images/aks_colorppf_GTPU-0443.jpg
0445,TPU 璀璨洋紅 (Xiaomi),images/aks_colorppf_GTPU-0445.jpg
0448,TPU 馬卡龍大黃蜂,images/aks_colorppf_GTPU-0448.jpg
0452,TPU 雙色閃亮灰,images/aks_colorppf_GTPU-0452.jpg
0454,TPU 烈焰橘,images/aks_colorppf_GTPU-0454.jpg
0455,TPU 珠光秋藍,images/aks_colorppf_GTPU-0455.jpg
0459,TPU 消光深巧克力,images/aks_colorppf_GTPU-0459.jpg
0464,TPU 蒂芬妮藍,images/aks_colorppf_GTPU-0464.jpg
0465,TPU 冰霜藍,images/aks_colorppf_GTPU-0465.jpg
0467,TPU 消光山灰 (Benz),images/aks_colorppf_GTPU-0467.jpg
0469,TPU 高亮奶油白,images/aks_colorppf_GTPU-0469.jpg
0471,TPU 亮面平織碳纖維黑 (Ferrari),images/aks_colorppf_GTPU-0471.jpg
0472,TPU 亮面戰機紋碳纖維黑 (Lamborghini),images/aks_colorppf_GTPU-0472.jpg
0482,TPU 撒哈拉黃 (Light),images/aks_colorppf_GTPU-0482.jpg
0489,TPU 魔幻藍紫金,images/aks_colorppf_GTPU-0489.jpg
0492,TPU 液態金屬槍灰 (Retro),images/aks_colorppf_GTPU-0492.jpg
0496,TPU 信號黃,images/aks_colorppf_GTPU-0496.jpg
0497,TPU 貝殼粉,images/aks_colorppf_GTPU-0497.jpg
0506,TPU 典雅灰,images/aks_colorppf_GTPU-0506.jpg
0526,TPU 紫晶瀾粉,images/aks_colorppf_GTPU-0526.jpg
0534,TPU 超級白鑽,images/aks_colorppf_GTPU-0534.jpg
0539,TPU 緞面珍珠白,images/aks_colorppf_GTPU-0539.jpg
0540,TPU 緞面極地藍金,images/aks_colorppf_GTPU-0540.jpg
0541,TPU 木槿花紫,images/aks_colorppf_GTPU-0541.jpg
0543,TPU 松煙霧紫,images/aks_colorppf_GTPU-0543.jpg
0546,TPU 淺灰丁香,images/aks_colorppf_GTPU-0546.jpg
0551,TPU 消光山灰 (Retro),images/aks_colorppf_GTPU-0551.jpg
0562,TPU 緞面琥珀幻影,images/aks_colorppf_GTPU-0562.jpg
